EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
2.48B,17.07,1.08B,72.60%,7.70%,6.09%,24.27%,19.46B,2.91,61.27,2.92B,47.16,1.08,6.21B,131.81,1.26B,5,2.54%,3.85B,0.45%,96.89%,Whirlpool Corporation (WHR),1.5B,9.82%,28.41%,5.56%,310.30,61.73M,3.87M,62M,4.13,8.68%,6.24%
4.2B,0.18,231M,39.80%,-3.30%,3.42%,0.11%,7.73B,6.57,9.92,70M,0.06,0.75,22.38B,150.24,649.12M,1.64,7.36%,4.7B,0.15%,88.29%,"The Williams Companies, Inc. (WMB)",3.37B,32.05%,831.58%,2.83%,6.38,1.21B,20.72M,1.21B,2.22,1.92%,1.71%
2.09B,7.65,996M,-12.50%,2.80%,2.29%,9.58%,9.35B,1.52,83.90,2.09B,16.2,1.05,6.7B,61.33,1.79B,2.84,1.24%,3.85B,0.23%,92.34%,Willis Towers Watson Public Limited Company (WLTW),1.77B,14.46%,32.93%,10.65%,71.94,128.38M,8.61M,128.97M,8.09,8.81%,6.68%
-510.05M,-19.37,-2.07B,N/A,-58.50%,N/A,-467.80%,2.1B,2.33,-1.20,3.55B,33.18,N/A,12.92B,N/A,N/A,N/A,N/A,352.64M,9.48%,73.31%,"Wynn Resorts, Limited (WYNN)",N/A,-58.78%,N/A,-98.63%,19.63,96.3M,8.28M,114.64M,2.96,8.80%,7.67%
4.19B,2.79,1.47B,-1.40%,5.30%,N/A,10.90%,11.53B,2.89,26.22,904M,1.72,N/A,22.46B,163.05,N/A,1.72,2.79%,4.68B,0.32%,79.15%,Xcel Energy Inc. (XEL),N/A,18.36%,61.65%,12.78%,21.87,524.32M,4.81M,537.3M,2,0.90%,0.89%
776M,0.85,178M,-90.60%,-21.00%,1.71%,3.31%,7.02B,3.64,28.19,2.62B,13.23,2.33,4.78B,82.22,537M,1,4.24%,2.63B,4.84%,89.60%,Xerox Holdings Corporation (XRX),548M,5.81%,119.05%,2.73%,33.60,160M,4.66M,198.39M,2.05,3.24%,2.35%
955.6M,2.50,620.88M,5.50%,11.00%,8.92%,23.70%,3.05B,1.84,10.60,3.32B,13.55,3.56,2.04B,78.64,946.81M,N/A,N/A,2.14B,0.19%,87.67%,"Xilinx, Inc. (XLNX)",1.2B,25.02%,60.40%,20.34%,12.44,244.69M,6.42M,245.12M,2.05,3.37%,2.62%
751M,1.40,254M,25.40%,0.10%,3.80%,8.55%,4.88B,1.20,16.45,1.88B,10.39,1.80,3.08B,103.63,628.37M,N/A,N/A,1.83B,1.02%,91.12%,Xylem Inc. (XYL),824M,10.25%,74.29%,5.21%,27.07,179.63M,1.65M,180.23M,1.54,1.04%,0.91%
1.8B,2.94,904M,-32.00%,2.90%,18.70%,N/A,5.65B,1.88,-26.30,730M,2.43,1.01,10.73B,N/A,915.88M,2,1.90%,2.69B,0.17%,78.72%,"Yum! Brands, Inc. (YUM)",1.3B,29.33%,63.95%,15.99%,18.72,299.35M,3.63M,300M,2.34,1.21%,1.21%
785M,8.76,474M,-14.70%,0.20%,8.11%,26.15%,4.33B,N/A,36.23,39M,0.73,0.68,1.73B,89.44,736.63M,N/A,N/A,2.1B,1.13%,90.42%,Zebra Technologies Corporation (ZBRA),796M,14.91%,0.00%,10.94%,80.84,52.88M,487.92k,53.32M,1.35,1.05%,0.92%
2B,-0.67,-138.9M,4.10%,-1.90%,2.45%,-1.12%,7.02B,0.78,58.82,802.1M,3.87,1.99,8.13B,66.61,1.18B,0.96,0.60%,4.9B,0.17%,90.66%,"Zimmer Biomet Holdings, Inc. (ZBH)",1.2B,13.71%,N/A,-1.98%,33.94,207.14M,2.73M,207.28M,2.33,1.32%,1.32%
N/A,3.02,505M,55.20%,10.40%,0.72%,7.07%,2.4B,1.96,44.61,7.65B,46.61,N/A,2.91B,N/A,N/A,N/A,N/A,2.4B,1.50%,88.01%,"Zions Bancorporation, National Association (ZION)",N/A,29.02%,45.03%,22.41%,14.69,161.78M,3.03M,164.09M,1.98,2.16%,1.85%
2.78B,3.47,1.66B,10.60%,12.80%,11.85%,52.89%,6.54B,0.60,7.58,3.66B,7.7,2.82,7.9B,219.07,1.33B,1,0.61%,4.37B,0.08%,94.21%,Zoetis Inc. (ZTS),1.99B,36.23%,22.02%,25.42%,13.75,474.57M,3.69M,475.27M,2.15,0.78%,0.78%
